rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
38,11138155,K00760.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,2455005.259,8.27e-05,-8.27e-05,0.0,,,,,,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,,,,9802.0,20.0,-20.0,0.103379,0.001245,-7.4e-05,1.46169,0.05503,-0.18338,LS+MCMC,12.21,1.96,-1.46,0.0565,,,86.15,,,1103.0,,,349.4,146.52,-93.21,12.386,0.466,-0.466,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2602,0.4096,q1_q17_dr25_koi,58.764744,670.4895,696.5,1,269.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0517,Mandel and Agol (2002 ApJ 580 171),,,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,011/011138/011138155/dv/kplr011138155-001-20160209194854_dvs.pdf,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,,,,q1_q17_dr25_stellar,292.16705,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.47780401,6.2e-07,48.7275662,5.6e-06,0.0,0.022,-0.086,0.02,0.00011,0.00052,-7e-05,0.00075,-0.018,0.067,0.012,0.067,0.022,0.067,-0.021,0.067,-0.077,0.068,0.08,0.068
345,10350571,K01175.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.997,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,17.157236,0.0001862,-0.0001862,133.68951,0.00899,-0.00899,2454966.69,0.00899,-0.00899,0.0,,,,,,0.238,0.218,-0.238,11.284,0.248,-0.248,,,,110.4,5.0,-5.0,0.009558,0.000343,-0.000362,0.09554,0.01196,-0.03008,LS+MCMC,1.55,0.24,-0.36,0.1309,,,88.81,,,844.0,,,119.87,53.1,-54.09,11.41,1.4,-1.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2638,0.4046,q1_q17_dr25_koi,3.4682977,13.00088,23.6,3,61.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.2031,Mandel and Agol (2002 ApJ 580 171),,,010/010350/010350571/dv/kplr010350571-20160209194854_dvr.pdf,010/010350/010350571/dv/kplr010350571-001-20160209194854_dvs.pdf,5676.0,115.0,-104.0,4.1,0.203,-0.087,0.1,0.15,-0.15,1.487,0.229,-0.344,1.016,0.093,-0.084,,,,q1_q17_dr25_stellar,295.92065,47.448608,13.29,13.791,13.242,13.075,12.998,12.061,11.704,11.617,0.896,19.728044,1.4e-05,47.44859,0.00015,-0.02,0.52,-0.08,0.53,1e-05,5.7e-05,1.3e-05,5.9e-05,0.03,0.61,-0.58,0.73,0.58,0.73,0.1,0.61,-0.5,0.73,0.51,0.73
376,9032900,K00134.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,LPP_DV---MOD_NONUNIQ_DV---MOD_TER_DV---MOD_POS_DV---MOD_NONUNIQ_ALT---MOD_TER_ALT---MOD_POS_ALT,67.5923754,0.0005335,-0.0005335,151.75056,0.00535,-0.00535,2454984.751,0.00535,-0.00535,0.0,,,,,,0.728,0.017,-0.451,12.249,0.332,-0.332,,,,4158.1,79.7,-79.7,0.063536,5.8e-05,-0.004707,0.14489,0.2145,-0.03815,LS+MCMC,12.1,2.25,-2.76,0.3582,,,88.73,,,588.0,,,28.2,14.74,-12.7,32.7,16.1,-16.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2845,0.3747,q1_q17_dr25_koi,56.80393,97.08831,60.9,1,21.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3897,Mandel and Agol (2002 ApJ 580 171),,,009/009032/009032900/dv/kplr009032900-20160209194854_dvr.pdf,009/009032/009032900/dv/kplr009032900-002-20160209194854_dvs.pdf,6038.0,120.0,-120.0,4.082,0.18,-0.12,0.34,0.1,-0.15,1.744,0.325,-0.398,1.341,0.125,-0.152,,,,q1_q17_dr25_stellar,295.58658,45.364979,13.675,14.038,13.622,13.52,13.49,12.628,12.413,12.322,0.123,19.7057672,6.5e-06,45.364865,8.4e-05,-0.18,0.25,-0.41,0.3,9e-05,0.00017,0.0001,0.00023,-0.02,0.36,-0.1,0.39,0.1,0.4,0.05,0.37,-0.15,0.39,0.16,0.34
553,10141900,K01082.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_DIFFS,6.50327035,3.134e-05,-3.134e-05,135.26657,0.00357,-0.00357,2454968.267,0.00357,-0.00357,0.0,,,,,,0.08,0.375,-0.08,2.591,0.131,-0.131,,,,418.3,24.1,-24.1,0.018135,0.000987,-0.000636,3.30276,0.26862,-1.45375,LS+MCMC,1.67,0.08,-0.12,0.0634,,,89.76,,,804.0,,,98.81,16.62,-18.82,19.47,1.6,-1.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,3.6596506,15.91325,19.0,4,200.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4126,Mandel and Agol (2002 ApJ 580 171),,,010/010141/010141900/dv/kplr010141900-20160209194854_dvr.pdf,010/010141/010141900/dv/kplr010141900-001-20160209194854_dvs.pdf,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.18,0.15,-0.15,0.843,0.04,-0.06,0.8,0.048,-0.028,,,,q1_q17_dr25_stellar,292.14447,47.157349,15.692,16.393,15.628,15.392,15.283,14.24,13.758,13.752,0.009,19.476315,2.5e-05,47.15776,0.00026,0.63,0.93,1.49,0.92,-0.00019,0.00037,-0.00059,0.00037,1.1,1.1,-0.96,0.76,1.46,0.86,1.3,1.1,-0.93,0.68,1.62,0.85
554,10141900,K01082.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.695,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.09667624,1.956e-05,-1.956e-05,133.09833,0.00376,-0.00376,2454966.098,0.00376,-0.00376,0.0,,,,,,0.142,0.32,-0.142,2.19,0.122,-0.122,,,,302.3,20.4,-20.4,0.01546,0.000968,-0.000556,3.35101,0.52027,-1.40477,LS+MCMC,1.42,0.07,-0.1,0.0466,,,89.43,,,938.0,,,182.9,30.76,-34.85,14.38,2.2,-2.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,3.3489723,11.0181,16.2,4,291.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8198,Mandel and Agol (2002 ApJ 580 171),,,010/010141/010141900/dv/kplr010141900-20160209194854_dvr.pdf,010/010141/010141900/dv/kplr010141900-003-20160209194854_dvs.pdf,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.18,0.15,-0.15,0.843,0.04,-0.06,0.8,0.048,-0.028,,,,q1_q17_dr25_stellar,292.14447,47.157349,15.692,16.393,15.628,15.392,15.283,14.24,13.758,13.752,0.013,19.476251,3.3e-05,47.15696,0.00033,-1.7,1.2,-1.4,1.2,0.00047,0.0003,0.00036,0.0003,0.13,0.81,0.7,0.67,0.71,0.77,0.34,0.84,0.71,0.66,0.79,0.9
667,7102227,K01360.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.921,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,0.764017553,3.767e-06,-3.767e-06,132.2214,0.00448,-0.00448,2454965.221,0.00448,-0.00448,0.0,,,,,,0.442,0.5,-0.237,1.103,0.143,-0.143,,,,128.2,13.0,-13.0,0.010487,0.000436,-0.000901,3.7212,1.62144,-3.5058,LS+MCMC,0.86,0.12,-0.07,0.0154,,,84.79,,,1589.0,,,1503.79,649.53,-390.73,4.86,2.1,-2.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,q1_q17_dr25_koi,3.4748602,11.504973,13.2,3,1685.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9497,Mandel and Agol (2002 ApJ 580 171),,,007/007102/007102227/dv/kplr007102227-20160209194854_dvr.pdf,007/007102/007102227/dv/kplr007102227-003-20160209194854_dvs.pdf,5142.0,153.0,-153.0,4.602,0.033,-0.083,-0.06,0.3,-0.3,0.755,0.097,-0.065,0.84,0.065,-0.09,,,,q1_q17_dr25_stellar,286.41,42.681549,15.596,16.302,15.511,15.293,15.134,14.054,13.583,13.452,0.383,19.093981,3e-05,42.68132,0.00035,-0.7,1.2,-0.8,1.3,7e-05,0.00011,7e-05,0.00012,0.82,0.5,0.42,0.77,0.93,0.56,0.88,0.57,0.34,0.61,0.94,0.6
671,11122894,K01426.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,150.0189511,0.0001744,-0.0001744,224.685714,0.000916,-0.000916,2455057.686,0.000916,-0.000916,0.0,,,,,,1.252,67.03,-0.169,4.3823,0.0486,-0.0486,,,,4319.7,46.8,-46.8,0.332851,66.94402,-0.154799,1.42611,353.15771,-0.15199,LS+MCMC,32.6,3.6,-2.94,0.523,,,89.4,,,325.0,,,2.62,0.88,-0.62,119.3,59.5,-59.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,q1_q17_dr25_koi,37.902687,92.3644,106.2,3,10.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8415,Mandel and Agol (2002 ApJ 580 171),,,011/011122/011122894/dv/kplr011122894-20160209194854_dvr.pdf,011/011122/011122894/dv/kplr011122894-002-20160209194854_dvs.pdf,5618.0,112.0,-112.0,4.46,0.081,-0.09,-0.22,0.15,-0.15,0.897,0.099,-0.081,0.846,0.059,-0.049,,,,q1_q17_dr25_stellar,283.20917,48.777641,14.232,14.628,14.158,14.063,13.985,13.122,12.785,12.78,0.584,18.8806093,4.2e-06,48.777748,4e-05,-0.05,0.15,0.39,0.14,0.0002,0.001,-0.0003,0.0014,0.058,0.075,0.049,0.076,0.076,0.075,0.073,0.072,0.156,0.078,0.172,0.077
852,8804283,K01276.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,22.79020351,6.878e-05,-6.878e-05,138.68515,0.00257,-0.00257,2454971.685,0.00257,-0.00257,0.0,,,,,,0.036,0.415,-0.036,5.0394,0.079,-0.079,,,,617.9,13.9,-13.9,0.02233,0.000728,-0.00039,1.60255,0.0201,-0.59606,LS+MCMC,2.57,0.36,-0.36,0.1528,,,89.94,,,634.0,,,38.27,14.48,-11.44,35.303,0.443,-0.443,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,7.908446,40.07861,47.7,2,58.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1098,Mandel and Agol (2002 ApJ 580 171),,,008/008804/008804283/dv/kplr008804283-20160209194854_dvr.pdf,008/008804/008804283/dv/kplr008804283-001-20160209194854_dvs.pdf,5478.0,82.0,-74.0,4.354,0.132,-0.096,0.16,0.15,-0.15,1.053,0.147,-0.147,0.914,0.061,-0.042,,,,q1_q17_dr25_stellar,285.0361,45.07106,14.766,15.29,14.694,14.542,14.456,13.539,13.194,13.067,0.0,19.0024279,5.5e-06,45.070844,6.5e-05,0.83,0.21,-0.78,0.23,0.00036,0.00013,-0.00061,0.00015,-3.5,0.58,3.73,0.64,5.12,0.85,-0.06,0.13,-0.13,0.13,0.15,0.13
853,8804283,K01276.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,13.26079792,9.795e-05,-9.795e-05,139.0988,0.00554,-0.00554,2454972.099,0.00554,-0.00554,0.0,,,,,,0.22,0.25,-0.22,3.912,0.169,-0.169,,,,199.4,12.4,-12.4,0.01276,0.00065,-0.000497,1.80709,0.27136,-0.70466,LS+MCMC,1.47,0.2,-0.21,0.1065,,,89.51,,,760.0,,,78.79,29.8,-23.55,25.61,3.8,-3.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,4.787258,14.653385,17.6,2,97.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5118,Mandel and Agol (2002 ApJ 580 171),,,008/008804/008804283/dv/kplr008804283-20160209194854_dvr.pdf,008/008804/008804283/dv/kplr008804283-002-20160209194854_dvs.pdf,5478.0,82.0,-74.0,4.354,0.132,-0.096,0.16,0.15,-0.15,1.053,0.147,-0.147,0.914,0.061,-0.042,,,,q1_q17_dr25_stellar,285.0361,45.07106,14.766,15.29,14.694,14.542,14.456,13.539,13.194,13.067,0.028,19.002428,1.5e-05,45.07077,0.00018,0.83,0.56,-1.05,0.63,0.00012,0.00011,-0.00014,0.00012,-3.84,0.68,3.46,0.83,5.17,0.98,-0.27,0.27,-0.25,0.42,0.36,0.43
859,4077526,K01336.04,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.45814897,2.897e-05,-2.897e-05,134.39743,0.00472,-0.00472,2454967.397,0.00472,-0.00472,0.0,,,,,,0.754,0.223,-0.548,2.867,0.152,-0.152,,,,188.1,14.5,-14.5,0.013643,0.003627,-0.001228,0.50387,1.11866,-0.4786,LS+MCMC,1.61,0.52,-0.22,0.0533,,,84.65,,,1212.0,,,511.6,502.96,-182.45,8.09,3.6,-3.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,3.0950994,11.357054,14.3,4,210.0,4.0,q1_q17_dr25_tce,11111011101110111000000000000000,0.0296,Mandel and Agol (2002 ApJ 580 171),,,004/004077/004077526/dv/kplr004077526-20160209194854_dvr.pdf,004/004077/004077526/dv/kplr004077526-004-20160209194854_dvs.pdf,6100.0,193.0,-214.0,4.376,0.105,-0.195,-0.12,0.25,-0.3,1.083,0.35,-0.15,1.017,0.167,-0.125,,,,q1_q17_dr25_stellar,296.35867,39.115189,14.82,15.311,14.763,14.61,14.472,13.643,13.382,13.283,0.0,19.757273,2.8e-05,39.11444,0.0003,1.2,1.2,-2.7,1.1,-5e-05,0.0002,0.00045,0.00019,-0.5,1.1,-1.16,0.72,1.26,0.85,-0.55,0.98,-1.17,0.71,1.29,0.88
