id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_4,K01940.01,10005788,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_13,K01574.01,10028792,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_14,K01574.02,10028792,0.0,CANDIDATE,CONFIRMED,7.3125574e-07,1
candidate_18,K01608.01,10055126,1.0,CANDIDATE,CONFIRMED,0.99999607,0
candidate_19,K01608.02,10055126,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_20,K01608.03,10055126,0.0,CANDIDATE,CONFIRMED,1.8535588e-14,1
candidate_29,K04034.01,10089911,0.0,CANDIDATE,CONFIRMED,0.018507143,1
candidate_38,K01082.01,10141900,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_39,K01082.02,10141900,1.0,CANDIDATE,CONFIRMED,0.99985313,0
candidate_40,K01082.03,10141900,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_47,K01083.01,10157458,1.0,CANDIDATE,CONFIRMED,0.99999166,0
candidate_68,K00732.01,10265898,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_70,K00732.03,10265898,0.0,CANDIDATE,CONFIRMED,1.0755274e-06,1
candidate_71,K00734.01,10272442,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_75,K00331.01,10285631,1.0,CANDIDATE,CONFIRMED,0.99999976,0
candidate_80,K00332.01,10290666,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_98,K02859.01,10397751,1.0,CANDIDATE,CONFIRMED,0.99999666,0
candidate_99,K02859.02,10397751,0.0,CANDIDATE,CONFIRMED,2.4432002e-05,1
candidate_104,K04568.01,10407086,0.0,CANDIDATE,FALSE POSITIVE,4.3249388e-16,0
candidate_123,K00337.01,10545066,1.0,CANDIDATE,CONFIRMED,0.99992406,0
candidate_156,K00430.01,10717241,1.0,CANDIDATE,CONFIRMED,0.9999726,0
candidate_158,K00600.01,10718726,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_160,K02327.01,10730703,1.0,CANDIDATE,CONFIRMED,0.99999785,0
candidate_162,K07368.01,10736489,0.0,CANDIDATE,CONFIRMED,5.0628906e-17,1
candidate_170,K02871.01,10793172,0.0,CANDIDATE,CONFIRMED,2.2065935e-05,1
candidate_171,K02871.02,10793172,0.0,CANDIDATE,CONFIRMED,0.0018685206,1
candidate_175,K01316.01,10794087,1.0,CANDIDATE,CONFIRMED,0.8360441,0
candidate_186,K07378.01,10843431,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_206,K02623.01,10916600,1.0,CANDIDATE,CONFIRMED,0.9752467,0
candidate_217,K01310.01,10964440,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_234,K02248.01,11030475,1.0,CANDIDATE,CONFIRMED,1.0,0
