id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_17,K01608.03,10055126,0.0,CANDIDATE,CONFIRMED,0.4447802,1
candidate_35,K01082.01,10141900,1.0,CANDIDATE,CONFIRMED,0.8179577,0
candidate_36,K01082.02,10141900,1.0,CANDIDATE,CONFIRMED,0.9142343,0
candidate_48,K00427.01,10189546,0.0,CANDIDATE,CONFIRMED,0.22764169,1
candidate_65,K00732.03,10265898,1.0,CANDIDATE,CONFIRMED,0.8372743,0
candidate_82,K01175.02,10350571,1.0,CANDIDATE,CONFIRMED,0.8721871,0
candidate_86,K02583.01,10387742,1.0,CANDIDATE,CONFIRMED,0.9076629,0
candidate_104,K00474.03,10460984,1.0,CANDIDATE,CONFIRMED,0.7659703,0
candidate_155,K07368.01,10736489,1.0,CANDIDATE,CONFIRMED,0.79192924,0
candidate_178,K07378.01,10843431,1.0,CANDIDATE,CONFIRMED,0.7693687,0
candidate_211,K00601.02,10973664,1.0,CANDIDATE,CONFIRMED,0.8930521,0
candidate_252,K01426.03,11122894,0.0,CANDIDATE,CONFIRMED,0.29413328,1
candidate_259,K00760.01,11138155,1.0,CANDIDATE,CONFIRMED,0.8710952,0
candidate_333,K01992.03,11450414,0.0,CANDIDATE,CONFIRMED,0.29388258,1
candidate_372,K03022.02,11618601,1.0,CANDIDATE,CONFIRMED,0.6836787,0
candidate_395,K00253.01,11752906,1.0,CANDIDATE,CONFIRMED,0.9385156,0
candidate_396,K00253.02,11752906,1.0,CANDIDATE,CONFIRMED,0.88729703,0
candidate_407,K03344.01,11810124,1.0,CANDIDATE,CONFIRMED,0.848867,0
candidate_449,K02061.01,12061969,1.0,CANDIDATE,CONFIRMED,0.76315296,0
candidate_450,K02061.02,12061969,0.0,CANDIDATE,CONFIRMED,0.4481883,1
candidate_528,K03145.01,1717722,1.0,CANDIDATE,CONFIRMED,0.77164495,0
candidate_570,K01942.01,2832589,1.0,CANDIDATE,CONFIRMED,0.89224434,0
candidate_620,K02150.01,3229150,0.0,CANDIDATE,CONFIRMED,0.015295952,1
candidate_636,K01845.02,3338885,1.0,CANDIDATE,CONFIRMED,0.866646,0
candidate_671,K03440.01,3559860,1.0,CANDIDATE,CONFIRMED,0.8299018,0
